#seq_name	length	coverage
contig_1	5137	3
contig_10	11210	7
contig_101	14807	3
contig_102	26478	3
contig_103	38857	3
contig_105	42520	8
contig_106	5726	4
contig_107	15194	7
contig_108	15946	5
contig_109	41761	3
contig_11	24889	3
contig_112	19300	4
contig_114	26718	6
contig_116	2835	15
contig_117	4420	4
contig_118	3031	3
contig_119	29014	3
contig_12	36172	5
contig_120	7787	8
contig_121	13197	3
contig_122	12069	3
contig_123	14325	5
contig_124	32816	5
contig_125	15135	6
contig_126	14413	3
contig_127	27589	4
contig_129	15799	4
contig_13	56298	6
contig_130	17481	5
contig_131	24248	3
contig_138	3627	11
contig_139	13672	12
contig_14	4422	5
contig_140	13847	7
contig_141	42618	4
contig_142	3121	9
contig_143	17621	3
contig_144	3344	4
contig_146	7511	4
contig_147	30485	9
contig_148	23388	3
contig_149	25654	7
contig_150	52146	7
contig_151	35934	5
contig_152	15767	3
contig_153	14873	11
contig_155	3186	6
contig_156	2522	22
contig_157	12555	4
contig_158	47144	10
contig_159	32601	3
contig_16	9096	5
contig_160	40825	6
contig_161	14774	5
contig_162	14218	6
contig_163	31469	5
contig_165	16471	3
contig_166	14281	4
contig_167	6719	3
contig_168	16440	3
contig_169	26486	4
contig_17	13877	3
contig_171	3557	3
contig_172	15333	4
contig_173	4656	3
contig_174	13415	6
contig_175	9645	3
contig_176	4698	3
contig_177	2360	6
contig_178	3940	4
contig_179	14460	3
contig_18	3815	3
contig_180	44222	3
contig_182	24307	3
contig_183	34890	4
contig_184	818	17
contig_186	33142	4
contig_187	4859	4
contig_188	9095	4
contig_189	6266	4
contig_190	27263	7
contig_191	26560	5
contig_192	5178	3
contig_193	17247	5
contig_194	11874	4
contig_195	4827	3
contig_197	38497	4
contig_198	17186	8
contig_199	11633	3
contig_20	85036	5
contig_200	26042	3
contig_201	13355	3
contig_202	14822	7
contig_203	20327	6
contig_204	22917	4
contig_205	31810	6
contig_206	2613	3
contig_207	16102	4
contig_208	17921	3
contig_209	15382	3
contig_21	16908	10
contig_210	7719	7
contig_211	12365	6
contig_212	27990	7
contig_213	23111	5
contig_214	16647	5
contig_215	14532	3
contig_216	17015	3
contig_217	6635	3
contig_218	8595	4
contig_219	10492	3
contig_22	12203	5
contig_220	5352	3
contig_221	6796	4
contig_222	13984	5
contig_223	2609	4
contig_224	39769	6
contig_225	16260	4
contig_226	3448	3
contig_227	14902	3
contig_228	19792	9
contig_229	31416	11
contig_23	38474	4
contig_232	37794	4
contig_233	14765	4
contig_234	11208	3
contig_236	16388	3
contig_237	35347	4
contig_238	32606	3
contig_239	7042	6
contig_24	5079	10
contig_240	10962	3
contig_241	66919	11
contig_242	16776	3
contig_243	34178	5
contig_244	7088	3
contig_245	38675	6
contig_246	40349	4
contig_247	42936	7
contig_248	2242	11
contig_249	11516	4
contig_25	10031	3
contig_250	30044	4
contig_251	3762	18
contig_252	9368	3
contig_253	41310	7
contig_254	15606	4
contig_256	9801	3
contig_26	41785	6
contig_27	9514	7
contig_28	35951	8
contig_29	2562	3
contig_3	36891	12
contig_30	36744	3
contig_31	38257	3
contig_32	15251	3
contig_33	14526	5
contig_34	16042	3
contig_35	43055	4
contig_36	21990	3
contig_37	6780	3
contig_38	5357	4
contig_39	8706	7
contig_4	1821	6
contig_40	5271	6
contig_41	15709	4
contig_42	13098	8
contig_43	17410	6
contig_44	14439	11
contig_45	18572	5
contig_46	18561	10
contig_47	9622	4
contig_48	2801	7
contig_49	7081	6
contig_50	36982	4
contig_53	3232	5
contig_54	4433	6
contig_55	37741	3
contig_56	28174	6
contig_57	11171	3
contig_58	10035	3
contig_59	27905	6
contig_60	37843	4
contig_61	30594	5
contig_62	14368	12
contig_63	3876	7
contig_64	5809	7
contig_65	38994	8
contig_66	8261	5
contig_67	2413	4
contig_68	15092	8
contig_69	13177	3
contig_7	2854	4
contig_70	17714	8
contig_71	4580	3
contig_72	12796	4
contig_73	16986	5
contig_74	23855	9
contig_75	15239	4
contig_76	6074	4
contig_77	25330	3
contig_8	2362	16
contig_83	1762	3
contig_85	24248	4
contig_86	19305	4
contig_87	59884	10
contig_9	36488	6
contig_90	8141	7
contig_91	58961	4
contig_92	6048	7
contig_93	14400	5
contig_96	4444	5
contig_98	3872	4
contig_99	12463	3
